id,marka,model,buraxilish_ili,sheher,qiymet,reng,yurush,muherrik_hecmi,at_gucu,benzin_tipi,suretler_qutusu,yeni,veziyyeti,elana_baxish_sayi
8584958,Mercedes,G 500,2018,Bakı,268600,Qara,75000,4.0,422,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",9620
8492685,Mercedes,E 300 de,2021,Bakı,95030,Ağ,84000,2.0,311,Plug-in Hibrid,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",8596
8710075,Mercedes,C 300,2016,Bakı,40500,Qara,141622,2.0,245,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",2968
8689396,Mercedes,E 220 d,2015,Bakı,38900,Gümüşü,151000,2.2,170,Dizel,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",11785
8743325,Mercedes,Viano,2011,Bakı,45000,Qızılı,342000,2.2,163,Dizel,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",1525
8693215,Mercedes,E 220 d,1999,Bakı,13000,Ağ,332345,2.2,143,Dizel,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",2007
8466932,Mercedes,E 280,2007,Bakı,23700,Gümüşü,247000,3.0,231,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",2615
8749935,Mercedes,E 350,2005,Bakı,19500,Qara,215000,3.5,272,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",371
8680094,Mercedes,ML 350 4MATIC,2008,Sumqayıt,23800,Qara,260000,3.5,272,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",1066
8751285,Mercedes,E 270,2001,Sumqayıt,15700,Gümüşü,404000,2.7,170,Dizel,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənib",202
8626876,Mercedes,E 250,2010,Sumqayıt,25500,Qara,235000,1.8,204,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",1991
8741836,Mercedes,C 230,2005,Sumqayıt,15600,Qara,340000,1.8,192,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",757
8745540,Mercedes,E 320,2006,Bakı,23000,Qara,363000,3.0,224,Dizel,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",785
8688987,Mercedes,Vito 115,2008,Bakı,21000,Gümüşü,215000,2.2,150,Dizel,Mexaniki,Xeyr,"Vuruğu yoxdur, rənglənməyib",3417
8742401,Mercedes,C 280,2008,Bakı,28000,Qara,168500,3.0,231,Benzin,Avtomat,Xeyr,"Vuruğu yoxdur, rənglənməyib",1957
